scenario,seed,algorithm,success,cost,time_ms,expanded
Sedang,3,A*,1,53.0,10.22900000680238,54
Sedang,3,RRT*,1,56.075032321125036,307.2812999598682,583
Sedang,4,Brute Force,1,53.31374990932342,82.81239995267242,12721
Sedang,4,UCS,1,54.65685424949238,357.992600009311,1827
Sedang,4,GBFS,1,54.65685424949238,10.358200001064688,54
Sedang,4,A*,1,54.65685424949238,36.507299984805286,191
Sedang,4,RRT*,1,54.68456119095133,338.46769999945536,576
Sulit,0,Brute Force,0,,105.69549998035654,12721
Sulit,0,UCS,1,68.84062043356595,330.22330002859235,1771
Sulit,0,GBFS,1,74.94112549695429,28.665699996054173,88
Sulit,0,A*,1,68.84062043356595,267.3587999888696,986
Sulit,0,RRT*,1,87.25500061419392,107.83850000007078,343
Sulit,1,Brute Force,0,,90.98429995356128,12721
Sulit,1,UCS,1,70.25483399593904,325.7075999863446,1837
Sulit,1,GBFS,1,74.94112549695429,16.930100042372942,106
Sulit,1,A*,1,70.25483399593904,279.0915999794379,1136
Sulit,1,RRT*,0,,84.78289999766275,264
Sulit,2,Brute Force,0,,118.70569997699931,12721
Sulit,2,UCS,1,69.42640687119285,401.871099951677,1825
Sulit,2,GBFS,1,72.94112549695429,66.27249997109175,278
Sulit,2,A*,1,69.42640687119285,219.67449999647215,1128
Sulit,2,RRT*,1,85.84645018751118,93.77140004653484,310
Sulit,3,Brute Force,0,,66.52860000031069,12721
Sulit,3,UCS,1,80.35533905932738,331.09849999891594,1787
Sulit,3,GBFS,1,84.698484809835,33.53409998817369,147
Sulit,3,A*,1,80.35533905932738,203.59840005403385,1086
Sulit,3,RRT*,1,85.42805289108531,149.3421999621205,421
Sulit,4,Brute Force,1,66.13293519911406,91.16070001618937,12721
Sulit,4,UCS,1,64.94112549695429,321.93909998750314,1820
Sulit,4,GBFS,1,71.87005768508881,23.423000006005168,82
Sulit,4,A*,1,64.94112549695429,235.88089999975637,849
Sulit,4,RRT*,1,80.2377149100923,191.4314999594353,522
Padat,0,Brute Force,0,,64.70030004857108,12721
Padat,0,UCS,1,55.48528137423857,667.0573000446893,1781
Padat,0,GBFS,1,59.62741699796952,29.97699996922165,59
Padat,0,A*,1,55.48528137423857,158.96500000962988,318
Padat,0,RRT*,1,56.655531844695325,693.5895999777131,774
Padat,1,Brute Force,0,,95.97610001219437,12721
Padat,1,UCS,0,,775.8110999711789,970
Padat,1,GBFS,0,,784.0886000194587,970
Padat,1,A*,0,,605.2309999940917,970
Padat,1,RRT*,0,,375.95020001754165,321
Padat,2,Brute Force,0,,116.92439997568727,12721
Padat,2,UCS,1,57.97056274847714,850.7765000103973,1816
Padat,2,GBFS,1,59.14213562373095,20.052900013979524,62
Padat,2,A*,1,57.97056274847714,127.86430004052818,422
Padat,2,RRT*,1,63.33748888401776,747.0656000077724,789
Padat,3,Brute Force,0,,76.3998000184074,12721
Padat,3,UCS,1,57.97056274847714,644.8539000120945,1766
Padat,3,GBFS,1,58.798989873223334,13.735099986661226,56
Padat,3,A*,1,57.97056274847714,99.06139998929575,397
Padat,3,RRT*,1,57.32982558919441,843.0988999898545,802
Padat,4,Brute Force,1,86.53071440452217,105.71380000328645,12721
Padat,4,UCS,1,58.798989873223334,724.2591999820434,1720
Padat,4,GBFS,1,63.04163056034262,65.0622000102885,149
Padat,4,A*,1,58.798989873223334,233.25569997541606,484
Padat,4,RRT*,1,60.640814776883104,771.2783999741077,764
