scenario,density,algorithm,success_rate,avg_cost,std_cost,avg_detour_ratio,std_detour_ratio,avg_time_ms,std_time_ms,avg_expanded,std_expanded,sample_count
4,4,Brute Force,100.0,53.25621174032367,0.5490223988745058,1.004834183779692,0.010358913186311445,122.85107000025164,54.23535175615689,12721.0,0.0,10
4,4,UCS,100.0,53.82842712474619,1.0332301569034925,1.0156307004669092,0.019494908620820636,212.14221000009275,69.2867312476015,2050.3,45.89371779811844,10
4,4,GBFS,100.0,54.076955262170046,1.5150128045134987,1.020319910606982,0.02858514725497169,6.369699999777367,3.851763711627467,54.3,0.9486832980505138,10
4,4,A*,100.0,53.82842712474619,1.0332301569034925,1.0156307004669092,0.019494908620820636,15.597160000470467,10.894841731689064,150.1,124.70895004859203,10
4,4,RRT*,100.0,56.041780859130945,1.4919252898202626,1.0573920916817159,0.02814953377019363,266.9164999988425,87.4703189625427,632.3,4.900113377373131,10
8,8,Brute Force,90.0,53.23572889429358,0.2332790335954577,1.0044477149866713,0.004401491199914312,122.47357000051124,50.94865831459318,12721.0,0.0,10
8,8,UCS,100.0,54.90538238691624,1.7486594608668127,1.0359506110738912,0.032993574733336105,343.92077999946196,118.47655469813533,2014.6,69.8143570080284,10
8,8,GBFS,100.0,55.4953318805774,2.3305246767128818,1.0470817335958,0.04397216371156383,9.779099999650498,4.0631155028741865,55.6,3.470510689285432,10
8,8,A*,100.0,54.90538238691624,1.7486594608668127,1.0359506110738912,0.032993574733336105,40.082680000705295,25.53019295683295,287.2,228.8603649972329,10
8,8,RRT*,100.0,56.81256873139423,2.9371058310308693,1.0719352590829099,0.055417091151525856,328.4674900005484,126.57665030033388,608.4,15.917844633548155,10
12,12,Brute Force,90.0,53.90891397370403,1.1915171600210985,1.0171493202585666,0.022481455849454688,126.00900000034017,57.66328882919003,12721.0,0.0,10
12,12,UCS,100.0,55.48528137423857,1.6568542494923801,1.0468921014007277,0.031261400933818524,452.23212000018975,152.41195910449702,1962.2,51.66516126839138,10
12,12,GBFS,100.0,56.40660171779821,2.7936114582603846,1.0642755041094003,0.052709650155856325,14.284199999747216,7.330390153850206,55.8,3.73571352696584,10
12,12,A*,100.0,55.48528137423857,1.6568542494923801,1.0468921014007277,0.031261400933818524,77.88365000014892,56.44123928712809,330.3,196.8519184000445,10
12,12,RRT*,100.0,57.213604395232174,2.446534098367483,1.079501969721362,0.04616102072391478,401.38238000035926,145.86102051662283,582.7,13.832730910577435,10
16,16,Brute Force,60.0,53.73434603033031,1.1294767720071874,1.0138555854779303,0.02131088249070169,115.26343999976234,66.03397935246815,12721.0,0.0,10
16,16,UCS,100.0,55.89949493661167,1.6683205056801635,1.0547074516341823,0.03147774539019181,561.4892099998542,189.7664738040358,1898.6,60.604730288429906,10
16,16,GBFS,100.0,57.952186130069784,4.2650268314259785,1.0934374741522601,0.08047220436652794,15.183129999786615,4.096587138190199,57.3,5.229191567005787,10
16,16,A*,100.0,55.89949493661167,1.6683205056801635,1.0547074516341823,0.03147774539019181,99.64298000049894,52.3071422612078,350.2,179.0616281246953,10
16,16,RRT*,100.0,57.163749369745325,2.3365687656944916,1.0785613088631194,0.044086203126311126,464.9208400001953,165.72463447272193,563.8,12.470409420348279,10
20,20,Brute Force,50.0,53.33651297080038,0.2670654373859194,1.0063493013358562,0.005038970516715493,120.566350000081,51.38776751213669,12721.0,0.0,10
20,20,UCS,100.0,56.31370849898476,1.9526214587563495,1.062522801867637,0.03684191431615754,726.7039999998815,247.20738080566312,1848.2,59.27300303585848,10
20,20,GBFS,100.0,58.990663761154806,5.141755192035346,1.113031391719902,0.0970142489063273,17.709330000070622,5.194878361722427,59.1,6.871034209717712,10
20,20,A*,100.0,56.31370849898476,1.9526214587563495,1.062522801867637,0.03684191431615754,134.52933999869856,95.70236500549788,371.3,164.62688453321076,10
20,20,RRT*,100.0,57.94771159649724,2.288019782685395,1.0933530489905139,0.0431701845789697,479.64005999892834,162.4964139145787,541.1,21.895966142952755,10
24,24,Brute Force,50.0,53.401541957245456,0.2922623874726639,1.0075762633442538,0.0055143846692955675,114.24235000049521,58.50614440808313,12721.0,0.0,10
24,24,UCS,100.0,56.645079348883236,2.0738273971159793,1.0687750820544006,0.039128818813509054,701.8781099999615,240.84183769186706,1788.5,58.06557595607841,10
24,24,GBFS,100.0,58.69777054234135,4.883812810519016,1.1075051045724784,0.09214741151922672,23.87752999966324,10.139673079784695,58.1,6.5226102477799826,10
24,24,A*,100.0,56.645079348883236,2.0738273971159793,1.0687750820544006,0.039128818813509054,154.62385999962862,95.26845054010663,378.1,152.96146936765192,10
24,24,RRT*,100.0,60.09257751106251,4.096403056359867,1.1338222171898586,0.0772906237049031,496.18069999996806,160.8636129665907,514.4,22.66274475874447,10
