scenario,algorithm,success_rate,avg_cost,std_cost,avg_detour_ratio,std_detour_ratio,avg_time_ms,std_time_ms,avg_expanded,std_expanded,sample_count
Mudah,Brute Force,100.0,53.36492727664596,0.3586253931905651,1.0068854203140747,0.006766516852652152,137.11585000055493,31.978977206967055,12721.0,0.0,10
Mudah,UCS,100.0,54.739696961967,0.9918086936443478,1.0328244709805094,0.018713371578195265,300.2570400007244,57.88864945117553,2036.2,28.97048306274662,10
Mudah,GBFS,100.0,55.29533188057741,1.8153479750331316,1.0433081486901397,0.03425184858553081,8.34446000008029,3.8080419928253706,54.5,0.8498365855987975,10
Mudah,A*,100.0,54.739696961967,0.9918086936443478,1.0328244709805094,0.018713371578195265,38.01401999990048,26.374107073152725,238.1,134.3845642591109,10
Mudah,RRT*,100.0,57.3493958701017,1.4361938724972467,1.0820640730207869,0.02709799759428767,302.45186000065587,64.62365410728397,615.1,8.130190649671137,10
Sedang,Brute Force,80.0,55.698426788550606,5.257885019996364,1.050913712991521,0.0992053777357804,168.07270999961474,59.404101430541516,12721.0,0.0,10
Sedang,UCS,100.0,55.40243866176395,1.4322182242672818,1.0453290313540369,0.027022985363533616,540.0996000003943,59.35816486648203,1817.2,62.207180721628376,10
Sedang,GBFS,100.0,56.38233764908629,2.8091663990932947,1.063817691492194,0.05300313960553387,18.72247999999672,13.919587553697113,78.8,73.22385767858269,10
Sedang,A*,100.0,55.40243866176395,1.4322182242672818,1.0453290313540369,0.027022985363533616,89.15705999970669,56.19591502899623,307.1,157.57640122246167,10
Sedang,RRT*,100.0,57.345599329426136,2.4320480893415573,1.0819924401778516,0.04588769979889731,469.93114999932004,84.77376744793845,559.2,31.229615573824933,10
Sulit,Brute Force,20.0,65.37118631755727,1.0772755994201402,1.2334186097652315,0.020325954706040445,108.91048999947088,19.098686338745118,12721.0,0.0,10
Sulit,UCS,100.0,70.35361466505707,4.4490917447345995,1.3274266917935296,0.08394512725914338,433.8769600002706,51.44670335245059,1796.8,26.46926939343476,10
Sulit,GBFS,100.0,75.8825468531916,3.8348318857636983,1.4317461670413507,0.07235531859931509,29.07290999937686,18.06523024697366,130.8,58.291985345805095,10
Sulit,A*,100.0,70.35361466505707,4.4490917447345995,1.3274266917935296,0.08394512725914338,266.0002500000701,37.7085907775427,1030.8,92.75151990368914,10
Sulit,RRT*,90.0,82.26975756482864,6.681080162131397,1.55225957669488,0.12605811626663013,232.03597999963677,68.16565400537748,389.7,82.18143883437968,10
Padat,Brute Force,30.0,70.43269004544617,16.740101268705182,1.328918680102758,0.31585096733406004,91.82357000063348,38.581410862762944,12721.0,0.0,10
Padat,UCS,100.0,57.059292911256335,1.8503599768568835,1.0765904322878554,0.034912452393526104,673.9759200001572,273.83464291162585,1743.3,72.80422759397668,10
Padat,GBFS,100.0,60.43746750430836,3.279606965097093,1.1403295755529879,0.061879376699945116,20.14000000017404,8.822417399321107,66.0,29.26507209019729,10
Padat,A*,100.0,57.059292911256335,1.8503599768568835,1.0765904322878554,0.034912452393526104,146.43139000036172,74.06698713188098,373.6,150.3294160613063,10
Padat,RRT*,100.0,59.16817050713052,2.9439680547278093,1.1163805756062362,0.05554656707033601,974.2430900001636,303.1416273059509,768.9,30.13101023493533,10
