scenario,algorithm,width,height,cell_count,success_rate,avg_cost,std_cost,avg_detour_ratio,std_detour_ratio,avg_time_ms,std_time_ms,avg_expanded,std_expanded,sample_count,runtime_exponent,runtime_r2,processed_exponent,processed_r2
30x20,UCS,30,20,600,100.0,37.03746750430835,2.5836860775992907,1.3976402831814472,0.09749758783393547,68.18142000010994,9.088446688172843,447.7,6.447221623821122,10,1.0052955415209934,0.9997662085265148,0.9970765700174756,0.9999876228850186
30x20,GBFS,30,20,600,100.0,38.85756851698602,2.5091405831419915,1.4663233402636233,0.09468455030724499,8.217289999993227,3.417479143662495,61.2,19.11834488419725,10,0.6832885387130787,0.9960915953671095,0.6583103488212888,0.9908852875064501
30x20,A*,30,20,600,100.0,37.03746750430835,2.5836860775992907,1.3976402831814472,0.09749758783393547,40.040290000069945,5.752243121659204,275.5,20.865974429412322,10,0.9893133574627342,0.9994825238156373,0.9598347981368827,0.9998866727831359
45x30,UCS,45,30,1350,100.0,54.316861428242355,3.1498627683676683,1.366461922723078,0.07924183065075895,156.69547999987117,10.702430262640682,1011.1,13.803783700291904,10,1.0052955415209934,0.9997662085265148,0.9970765700174756,0.9999876228850186
45x30,GBFS,45,30,1350,100.0,56.82569260369921,3.410387891987179,1.4295771724201058,0.08579592181099824,12.923469999986992,6.803213669719232,91.3,34.322166468786776,10,0.6832885387130787,0.9960915953671095,0.6583103488212888,0.9908852875064501
45x30,A*,45,30,1350,100.0,54.316861428242355,3.1498627683676683,1.366461922723078,0.07924183065075895,94.25170999966213,10.568103469488038,603.4,47.56095504134084,10,0.9893133574627342,0.9994825238156373,0.9598347981368827,0.9998866727831359
60x40,UCS,60,40,2400,100.0,70.35361466505707,4.4490917447345995,1.3274266917935296,0.08394512725914338,286.6544700000304,20.187594818044907,1796.8,26.46926939343476,10,1.0052955415209934,0.9997662085265148,0.9970765700174756,0.9999876228850186
60x40,GBFS,60,40,2400,100.0,75.8825468531916,3.8348318857636983,1.4317461670413507,0.07235531859931509,20.390690000203904,9.194789734051511,130.8,58.291985345805095,10,0.6832885387130787,0.9960915953671095,0.6583103488212888,0.9908852875064501
60x40,A*,60,40,2400,100.0,70.35361466505707,4.4490917447345995,1.3274266917935296,0.08394512725914338,158.92306000023382,23.240518722013586,1030.8,92.75151990368914,10,0.9893133574627342,0.9994825238156373,0.9598347981368827,0.9998866727831359
75x50,UCS,75,50,3750,100.0,87.17442994522838,5.329435827408568,1.3158404520034472,0.08044431437597839,434.4323199999053,35.5763357051971,2788.4,35.31194321094966,10,1.0052955415209934,0.9997662085265148,0.9970765700174756,0.9999876228850186
75x50,GBFS,75,50,3750,100.0,93.38204178980325,5.683418357621303,1.4095402534309927,0.08578744690749136,26.481199999943783,13.198670066119012,184.5,87.29802085067246,10,0.6832885387130787,0.9960915953671095,0.6583103488212888,0.9908852875064501
75x50,A*,75,50,3750,100.0,87.17442994522838,5.329435827408568,1.3158404520034472,0.08044431437597839,244.0007200002583,28.258085751806703,1572.5,147.30637008176757,10,0.9893133574627342,0.9994825238156373,0.9598347981368827,0.9998866727831359
90x60,UCS,90,60,5400,100.0,104.11828996322964,6.530075001789087,1.3096640246947124,0.08213930819860485,630.0805699998818,61.75608672872259,3997.6,46.733761291430895,10,1.0052955415209934,0.9997662085265148,0.9970765700174756,0.9999876228850186
90x60,GBFS,90,60,5400,100.0,113.21463197058371,6.59896115817832,1.4240834210136315,0.08300580073180275,34.47498999939853,22.077885343082983,238.7,128.2896462436986,10,0.6832885387130787,0.9960915953671095,0.6583103488212888,0.9908852875064501
90x60,A*,90,60,5400,100.0,104.11828996322964,6.530075001789087,1.3096640246947124,0.08213930819860485,353.7250800000038,50.345795255372224,2257.1,217.9048977064179,10,0.9893133574627342,0.9994825238156373,0.9598347981368827,0.9998866727831359
120x80,UCS,120,80,9600,100.0,138.71727983645297,8.820780779717465,1.308653583362764,0.0832149130162025,1109.6137399998042,102.9835206791866,7135.9,91.43844316746042,10,1.0052955415209934,0.9997662085265148,0.9970765700174756,0.9999876228850186
120x80,GBFS,120,80,9600,100.0,151.59108216936542,8.92907834308938,1.4301045487675983,0.08423658814235264,54.64059999976598,37.61124699437694,375.0,230.86118965492855,10,0.6832885387130787,0.9960915953671095,0.6583103488212888,0.9908852875064501
120x80,A*,120,80,9600,100.0,138.71727983645297,8.820780779717465,1.308653583362764,0.0832149130162025,639.9730400000408,69.89094681319169,3981.8,417.8401608270799,10,0.9893133574627342,0.9994825238156373,0.9598347981368827,0.9998866727831359
