scenario,seed,algorithm,success,cost,time_ms,expanded,detour_ratio,generation_attempt,timing_repeats,time_min_ms,time_max_ms,width,height,obstacle_count,density
4,0,Brute Force,1,53.0,106.49850000118022,12721,1.0,0,3,102.33019999941462,130.69529999847873,60,40,4,4
4,0,UCS,1,53.0,171.1743000014394,2033,1.0,0,3,169.32389999783481,192.5295000000915,60,40,4,4
4,0,GBFS,1,53.0,4.061899999214802,54,1.0,0,3,3.50810000236379,5.794299999251962,60,40,4,4
4,0,A*,1,53.0,3.8516999993589707,54,1.0,0,3,3.451900000072783,5.203699998673983,60,40,4,4
4,0,RRT*,1,54.21166727460838,161.13949999999022,642,1.022861646690724,0,3,138.32629999888013,165.50269999788725,60,40,4,4
8,0,Brute Force,1,53.0,167.82600000078673,12721,1.0,0,3,165.2247999991232,186.08300000050804,60,40,8,8
8,0,UCS,1,53.0,393.8897999978508,1950,1.0,0,3,387.56219999777386,500.35749999733525,60,40,8,8
8,0,GBFS,1,53.0,13.221300003351644,54,1.0,0,3,8.80949999918812,17.910300000949064,60,40,8,8
8,0,A*,1,53.0,11.699800001224503,54,1.0,0,3,10.068100000353297,13.039600002230145,60,40,8,8
8,0,RRT*,1,54.21166727460838,397.175199999765,620,1.022861646690724,0,3,353.4268000003067,428.8910999966902,60,40,8,8
12,0,Brute Force,1,53.0,198.38679999884334,12721,1.0,0,3,174.7551000007661,230.79719999805093,60,40,12,12
12,0,UCS,1,53.0,564.6811000005982,1888,1.0,0,3,517.9962000001979,645.6599999983155,60,40,12,12
12,0,GBFS,1,53.0,16.04829999996582,54,1.0,0,3,14.886299999488983,20.67479999823263,60,40,12,12
12,0,A*,1,53.0,15.042300001368858,54,1.0,0,3,12.412899999617366,16.047699999035103,60,40,12,12
12,0,RRT*,1,54.21166727460838,474.4210999997449,586,1.022861646690724,0,3,373.5923000022012,482.61299999649054,60,40,12,12
16,0,Brute Force,1,53.05469426933388,247.77780000295024,12721,1.0010319673459223,0,3,210.08829999846057,268.68050000121,60,40,16,16
16,0,UCS,1,53.82842712474619,721.9292999980098,1826,1.0156307004669092,0,3,613.7985999994271,758.6239000011119,60,40,16,16
16,0,GBFS,1,53.82842712474619,16.461099996377015,54,1.0156307004669092,0,3,14.24109999788925,17.924200001289137,60,40,16,16
