scenario,seed,algorithm,success,cost,time_ms,expanded,detour_ratio,generation_attempt,timing_repeats,time_min_ms,time_max_ms,width,height,obstacle_count,cell_count
90x60,2,UCS,1,102.63961030678928,685.70660000114,4052,1.2910642805885444,0,3,680.7582000001275,688.5952000011457,90,60,10,5400
90x60,2,GBFS,1,111.32590180780453,92.23999999994703,566,1.4003258089032016,0,3,82.6015999991796,99.15910000017902,90,60,10,5400
90x60,2,A*,1,102.63961030678928,377.72100000074715,2466,1.2910642805885444,0,3,374.77079999916896,416.30029999942053,90,60,10,5400
120x80,2,UCS,1,136.61017305526642,1260.1956999988033,7262,1.2887752175025133,0,3,1196.6432000008353,1260.7521999998426,120,80,10,9600
120x80,2,GBFS,1,149.0538238691624,146.51520000006713,955,1.4061681497090792,0,3,141.3289000010991,150.98849999958475,120,80,10,9600
120x80,2,A*,1,136.61017305526642,706.9381000001158,4345,1.2887752175025133,0,3,701.346799998646,746.686899999986,120,80,10,9600
30x20,3,UCS,1,41.384776310850235,72.2219999988738,442,1.561689672107556,0,3,64.76780000048166,76.477700000396,30,20,10,600
30x20,3,GBFS,1,43.97056274847714,7.751799999823561,55,1.6592665188104583,0,3,7.249500000398257,8.022300000448013,30,20,10,600
30x20,3,A*,1,41.384776310850235,39.58240000065416,278,1.561689672107556,0,3,38.09539999929257,39.61090000120748,30,20,10,600
45x30,3,UCS,1,60.2842712474619,163.36729999966337,1016,1.5165854401877208,0,3,132.8585999999632,168.97749999952794,45,30,10,1350
45x30,3,GBFS,1,64.04163056034261,7.237699999677716,79,1.6111102027759148,0,3,6.579100001545157,11.235400001169182,45,30,10,1350
45x30,3,A*,1,60.2842712474619,93.4412999995402,613,1.5165854401877208,0,3,87.20129999892379,119.2164000003686,45,30,10,1350
60x40,3,UCS,1,80.35533905932738,288.7907999993331,1787,1.5161384728174976,0,3,283.5296000012022,299.77080000026035,60,40,10,2400
60x40,3,GBFS,1,84.698484809835,24.919100000261096,147,1.5980846190534905,0,3,16.030300001148134,28.904599999805214,60,40,10,2400
60x40,3,A*,1,80.35533905932738,152.16030000010505,1086,1.5161384728174976,0,3,149.84550000008312,153.45800000068266,60,40,10,2400
75x50,3,UCS,1,99.25483399593904,441.05339999987336,2779,1.4981861735236082,0,3,415.9257000010257,484.98579999977665,75,50,10,3750
75x50,3,GBFS,1,105.59797974644667,31.337899999925867,181,1.5939317697576856,0,3,21.98080000016489,32.925800000157324,75,50,10,3750
75x50,3,A*,1,99.25483399593904,282.2568000010506,1684,1.4981861735236082,0,3,265.1759000000311,301.2745000014547,75,50,10,3750
90x60,3,UCS,1,118.74011537017762,652.978099999018,3982,1.49358635685758,0,3,649.0591999991011,694.4020999999339,90,60,10,5400
90x60,3,GBFS,1,126.84062043356595,38.292199998977594,251,1.5954795023090056,0,3,36.78749999926367,46.78239999884681,90,60,10,5400
90x60,3,A*,1,118.74011537017762,386.15720000052534,2439,1.49358635685758,0,3,364.3193000007159,415.23509999933594,90,60,10,5400
120x80,3,UCS,1,158.71067811865476,1164.7756000002119,7116,1.4972705482891957,0,3,1139.6855000002688,1268.0706000010105,120,80,10,9600
120x80,3,GBFS,1,169.9827560572969,57.780799999818555,388,1.6036109062009143,0,3,50.193099999887636,60.69250000109605,120,80,10,9600
120x80,3,A*,1,158.71067811865476,711.289000000761,4327,1.4972705482891957,0,3,694.4501000016317,759.8056000006181,120,80,10,9600
30x20,4,UCS,1,33.97056274847714,76.08840000102646,456,1.2819080282444204,0,3,74.25870000042778,80.9676999997464,30,20,10,600
30x20,4,GBFS,1,36.55634918610404,6.091900000683381,40,1.3794848749473223,0,3,5.812699999296456,6.786800000554649,30,20,10,600
30x20,4,A*,1,33.97056274847714,34.234599999763304,245,1.2819080282444204,0,3,30.690499999764143,40.44419999991078,30,20,10,600
45x30,4,UCS,1,50.2842712474619,162.11939999993774,1024,1.2650131131436957,0,3,143.26679999976477,163.53440000057162,45,30,10,1350
45x30,4,GBFS,1,54.04163056034262,8.351399999810383,57,1.3595378757318897,0,3,6.06080000034126,12.486500001614331,45,30,10,1350
45x30,4,A*,1,50.2842712474619,93.97990000070422,534,1.2650131131436957,0,3,84.81790000041656,99.81549999974959,45,30,10,1350
60x40,4,UCS,1,64.94112549695429,270.6612000001769,1820,1.2253042546595148,0,3,267.04830000016955,282.4572999998054,60,40,10,2400
60x40,4,GBFS,1,71.87005768508881,11.358800000380143,82,1.3560388242469588,0,3,9.587099999407656,13.71359999939159,60,40,10,2400
60x40,4,A*,1,64.94112549695429,120.41830000089249,849,1.2253042546595148,0,3,108.65489999923739,133.9650999998412,60,40,10,2400
75x50,4,UCS,1,81.25483399593904,461.52359999905457,2815,1.2264880603160608,0,3,435.0677000002179,474.59060000073805,75,50,10,3750
75x50,4,GBFS,1,90.18376618407356,14.652100000603241,101,1.361264395231299,0,3,12.708799999018083,17.07939999869268,75,50,10,3750
75x50,4,A*,1,81.25483399593904,214.7779000006267,1316,1.2264880603160608,0,3,203.79410000168718,264.38020000023243,75,50,10,3750
90x60,4,UCS,1,96.49747468305833,571.2582999985898,4039,1.2138047129944445,0,3,534.028700001727,604.7266000005038,90,60,10,5400
90x60,4,GBFS,1,107.18376618407356,13.692799999262206,128,1.348223474013504,0,3,11.772800000471761,14.519899999868358,90,60,10,5400
90x60,4,A*,1,96.49747468305833,296.4473000010912,1853,1.2138047129944445,0,3,285.3524000001926,327.1383999999671,90,60,10,5400
120x80,4,UCS,1,128.46803743153546,1168.15730000053,7198,1.2119626172786364,0,3,1037.154300000111,1211.3034000012703,120,80,10,9600
120x80,4,GBFS,1,144.3259018078045,23.375700000542565,173,1.3615651113943823,0,3,21.392500000729342,33.3983000000444,120,80,10,9600
120x80,4,A*,1,128.46803743153546,567.3858999998629,3219,1.2119626172786364,0,3,506.63340000028256,604.6664999994391,120,80,10,9600
30x20,5,UCS,1,33.384776310850235,79.65770000009798,451,1.2598028796547258,0,3,74.08329999998386,80.20790000045963,30,20,10,600
30x20,5,GBFS,1,38.55634918610404,6.852399999843328,50,1.4549565730605298,0,3,6.165199998577009,6.95850000010978,30,20,10,600
30x20,5,A*,1,33.384776310850235,38.410499999372405,246,1.2598028796547258,0,3,33.796499999880325,41.15939999974216,30,20,10,600
45x30,5,UCS,1,50.2842712474619,157.9781999989791,1008,1.2650131131436957,0,3,147.71590000054857,159.28750000057335,45,30,10,1350
45x30,5,GBFS,1,52.04163056034262,9.867900000244845,84,1.3092234103230846,0,3,7.9144000010273885,10.909899998296169,45,30,10,1350
45x30,5,A*,1,50.2842712474619,87.92829999947571,561,1.2650131131436957,0,3,80.19270000113465,97.70899999966787,45,30,10,1350
60x40,5,UCS,1,65.76955262170047,319.80099999964295,1791,1.240934955126424,0,3,263.31370000116294,320.45540000035544,60,40,10,2400
60x40,5,GBFS,1,75.76955262170047,21.694600000046194,123,1.4296142004094428,0,3,17.88699999997334,23.828499999581254,60,40,10,2400
