scenario,seed,algorithm,success,cost,time_ms,expanded,detour_ratio,generation_attempt,timing_repeats,time_min_ms,time_max_ms,width,height,obstacle_count
Sulit,3,A*,1,80.35533905932738,295.38009999669157,1086,1.5161384728174976,0,3,250.97500000265427,303.2387999992352,60,40,10
Sulit,3,RRT*,1,84.86973854490644,291.08020000057877,410,1.6013158216020082,0,3,215.5977999973402,351.5445000011823,60,40,10
Sulit,4,Brute Force,1,66.13293519911406,90.93480000228737,12721,1.2477912301719634,0,3,85.09100000082981,138.3176999988791,60,40,10
Sulit,4,UCS,1,64.94112549695429,464.4785000018601,1820,1.2253042546595148,0,3,447.36330000159796,497.55480000021635,60,40,10
Sulit,4,GBFS,1,71.87005768508881,12.478500000725035,82,1.3560388242469588,0,3,9.655299996666145,15.63969999915571,60,40,10
Sulit,4,A*,1,64.94112549695429,192.1766999985266,849,1.2253042546595148,0,3,169.44019999937154,197.04599999749917,60,40,10
Sulit,4,RRT*,1,80.2377149100923,270.49260000057984,522,1.5139191492470243,0,3,259.7438999982842,348.60309999930905,60,40,10
Sulit,5,Brute Force,1,64.60943743600049,96.35650000200258,12721,1.2190459893584997,0,3,91.82220000002417,134.164500002953,60,40,10
Sulit,5,UCS,1,65.76955262170047,483.2568000019819,1791,1.240934955126424,0,3,405.49259999897913,607.4999000011303,60,40,10
Sulit,5,GBFS,1,75.76955262170047,27.554799999052193,123,1.4296142004094428,0,3,21.694200000638375,45.56779999984428,60,40,10
Sulit,5,A*,1,65.76955262170047,255.8913000029861,948,1.240934955126424,0,3,179.01350000101957,313.00329999794485,60,40,10
Sulit,5,RRT*,1,77.4064529436798,200.6976000011491,389,1.4604991121449018,0,3,164.14179999992484,233.18980000112788,60,40,10
Sulit,6,Brute Force,0,nan,125.32999999893946,12721,nan,0,3,95.1511000021128,127.44659999953001,60,40,10
Sulit,6,UCS,1,72.39696961967,510.1199999990058,1748,1.3659805588616982,0,3,465.3610999994271,517.583900000318,60,40,10
Sulit,6,GBFS,1,79.42640687119285,24.562900001910748,153,1.498611450399865,0,3,23.29269999972894,29.50549999877694,60,40,10
Sulit,6,A*,1,72.39696961967,226.11959999994724,1087,1.3659805588616982,0,3,193.10659999973723,293.6516000008851,60,40,10
Sulit,6,RRT*,1,78.4946963918594,254.63659999877564,409,1.4810320073935737,0,3,214.5633000000089,273.5030000003462,60,40,10
Sulit,7,Brute Force,0,nan,140.58120000117924,12721,nan,0,3,110.24620000171126,163.01209999801358,60,40,10
Sulit,7,UCS,1,70.59797974644667,385.723199997301,1807,1.3320373537065409,0,3,325.77199999650475,581.9558999974106,60,40,10
Sulit,7,GBFS,1,72.35533905932738,25.609599997551413,144,1.3651950765910825,0,3,23.838300003262702,28.538799997477327,60,40,10
Sulit,7,A*,1,70.59797974644667,255.80210000043735,1041,1.3320373537065409,0,3,238.92329999944195,276.4741999999387,60,40,10
Sulit,7,RRT*,1,78.58126379020617,279.71180000167806,438,1.4826653545321917,0,3,200.50690000061877,292.38899999836576,60,40,10
Sulit,8,Brute Force,0,nan,116.24399999709567,12721,nan,0,3,88.17970000018249,127.30400000145892,60,40,10
Sulit,8,UCS,1,73.66904755831214,359.10190000140574,1793,1.389982029402116,0,3,347.06240000014077,511.26509999812697,60,40,10
Sulit,8,GBFS,1,77.18376618407356,23.973499999556225,106,1.4562974751711992,0,3,21.007799998187693,28.359600000840146,60,40,10
Sulit,8,A*,1,73.66904755831214,264.2209000005096,1089,1.389982029402116,0,3,260.9169999996084,302.15709999902174,60,40,10
Sulit,8,RRT*,1,72.04761226619914,354.5072999986587,486,1.3593889106830026,0,3,299.05090000102064,368.71869999959017,60,40,10
Sulit,9,Brute Force,0,nan,80.42889999705949,12721,nan,0,3,79.08310000129859,87.19049999854178,60,40,10
Sulit,9,UCS,1,67.2842712474619,494.1956000002392,1789,1.2695145518389037,0,3,439.4181999996363,553.8341000028595,60,40,10
Sulit,9,GBFS,1,74.698484809835,24.04719999685767,81,1.4094053737704715,0,3,22.473000000900356,25.37510000183829,60,40,10
Sulit,9,A*,1,67.2842712474619,263.9119000014034,958,1.2695145518389037,0,3,208.4364000002097,268.7857000018994,60,40,10
Sulit,9,RRT*,1,93.47846879385365,194.66999999713153,371,1.7637446942236539,0,3,163.00199999750475,208.1572999995842,60,40,10
Padat,0,Brute Force,0,nan,63.875700001517544,12721,nan,0,3,62.796400001388974,66.34529999791994,60,40,21
Padat,0,UCS,1,55.48528137423857,871.465399999579,1781,1.0468921014007277,0,3,833.258399998158,897.1867000000202,60,40,21
Padat,0,GBFS,1,59.62741699796952,25.826799999776995,59,1.1250456037352738,0,3,22.14050000111456,36.404900001798524,60,40,21
