scenario,algorithm,success_rate,avg_cost,std_cost,avg_time_ms,std_time_ms,avg_expanded,std_expanded
Mudah,Brute Force,100.0,53.339819816902136,0.19379611463561663,77.04795999452472,12.00427819455903,12721,0.0
Mudah,UCS,100.0,54.82253967444162,0.6931118601716932,178.0577400000766,16.161401045774895,2041,25.089838580588754
Mudah,GBFS,100.0,55.43675323681472,1.8396624425800554,4.300859989598393,0.5021738260106462,54.6,0.8944271909999159
Mudah,A*,100.0,54.82253967444162,0.6931118601716932,20.636459992965683,9.788678206301626,246.2,114.91605631938472
Mudah,RRT*,100.0,57.25349193967027,1.6415928624234721,125.63731999835,7.686656657118992,617,2.9154759474226504
Sedang,Brute Force,80.0,53.16402334913268,0.15325830363302223,81.57085999846458,14.795404220148393,12721,0.0
Sedang,UCS,100.0,54.491168824543145,1.2287559978423406,269.1709399980027,16.550217753099684,1828.2,35.50633746248689
Sedang,GBFS,100.0,55.43675323681472,3.2076320663590203,7.789280003635213,1.9376501086310673,54.8,1.7888543819998317
Sedang,A*,100.0,54.491168824543145,1.2287559978423406,33.17278000758961,22.843343221290148,226.6,160.010312167685
Sedang,RRT*,100.0,56.339308100031374,2.3354549010025405,178.5074400017038,20.022994903239006,576.2,13.553597308463905
Sulit,Brute Force,20.0,66.13293519911406,0.0,60.127040004590526,10.515678413087928,12721,0.0
Sulit,UCS,100.0,70.7636651713959,5.736886050444689,236.50307999923825,10.614932109812113,1808,27.76688675382964
Sulit,GBFS,100.0,75.87838379715733,5.105028223703533,15.9765999938827,8.631116007006803,140.2,81.11226787607409
Sulit,A*,100.0,70.7636651713959,5.736886050444689,131.69824000797234,20.340032858256386,1037,120.85942247090212
Sulit,RRT*,80.0,84.69180465072068,3.0705133529431627,73.48003999795765,34.54359688199184,372,101.5504800579495
Padat,Brute Force,20.0,86.53071440452217,0.0,61.289460002444685,8.721672141742228,12721,0.0
Padat,UCS,80.0,57.55634918610404,1.4348778704286043,377.44662000914104,75.7900082721356,1610.6,359.7607538351008
Padat,GBFS,80.0,60.152543263816604,1.9558129922839838,58.14301999635063,89.80700245190141,259.2,399.261443167256
Padat,A*,80.0,57.55634918610404,1.4348778704286043,126.49620000156574,61.671411436545476,518.2,259.4787081823863
Padat,RRT*,80.0,59.49091527369765,3.0998981284855445,410.85947999963537,157.56795988877636,690,206.78370341978112
